text,is_hate_1,is_toxic_1,is_offensive_1,is_hate_2,is_toxic_2,is_offensive_2,is_hate_3,is_toxic_3,is_offensive_3,is_hate_4,is_toxic_4,is_offensive_4,is_hate_5,is_toxic_5,is_offensive_5,is_hate_6,is_toxic_6,is_offensive_6
@user @user @user is this what ya all wanted? Blacks taking from blacks? Leaving blacks homeless? What will it change with being unemployed? I tot We would rather stand against corruption right now. I tot we would rather fight the government  now.They are robbing us of a future😡,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0
SAHRC says it's served Western Cape Education Department with an allegations notice over the racism claims at Brackenfell High School in Cape Town. Violent clashes erupted outside the school on Friday as hundreds of EFF supporters protested against alleged racism at the school.,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"As the brand ambassador for #PanasonicSA, #SiyaKolisi will captain #TeamPanasonic in the upcoming @user We're also sponsoring the Tokai team with Panasonic technology. To find out more &amp; to follow the race, #FollowSiya or head to <URL> <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user @user @user @user @user What are YOU doing about it? If you follow what has been going on, you would know that patriotic SAns are speaking against ALL illegal migrants and ALL illegal activities regardless of who is doing it. U just chose not to see it.",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"Senekal, en wat daar gebeur het, het niks te doen met die EFF nie. Hulle is bang iemand vat die kollig weg van hulle af. Dit is nou tensy hulle betrokke is in die plaasmoorde en diefstalle _x1f914__x1f914_. Goed gedoen Pieter Groenewald <URL>",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
#PutSouthAfricansFirst All Day Everyday!,0,0,0,0,1,0,0,1,0,,,,0,0,0,0,0,0
@user @user 😂😂😂 Easy Mbaks,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user @user Senekal and EFF threats,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"@user Nigerians are taking over our CITIES. Lets focus on that first. ""My opinion""",0,1,0,0,1,1,0,1,1,,,,0,1,0,0,1,0
"The Taliban is supreme energy 💯 , they know who they are not what the media tells you who they are the US tried to kill them for 20 years and they failed dismally, the devil failed #FreePresidentZuma #PhoenixMassacre #cyrimustfall #CR17BankStatements #MarikanaMassacre",0,1,0,0,1,1,0,1,1,,,,0,0,0,0,0,0
#PutSouthAfricaFirst They are used to Marches and Peaceful demonstrations so they dont pay much attention to it. they even developed strategic ways to brush them off. our next approach will be more advanced and they will regret under estimating us...,1,1,1,1,1,0,1,1,0,,,,1,1,0,0,0,0
"The murder of Brendin Horner is appalling and terrifying. But we need to see this as part of a much bigger picture of horrific violence that takes place every single day, and victims that are failed by the state and police every single day. Nobody is getting a good deal here.",0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"Being a black RSA citizens is very hard/ RSA citizens experienced a harsh Apartheid regime til 1994.
 
From 1994 till today RSA citizens are sidelined for jobs and opportunities at the expense of FOREIGNERS / THAT'S harsher n painful experience for SAns #PutSouthAfricansFirst <URL>",0,1,0,0,1,1,0,1,1,,,,0,1,1,0,1,0
Was that an earthquake in Cape Town or the EFF arriving in Brackenfell? _x1f914_ #earthquake #EFF #brackenfellhigh,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
@user @user You only showing what Israel doing with Hamaz but not showing what Israel doing do to the innocent children and people of palastine,0,1,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
@user Sleeping on the job this would be 1st time fire them.f.k I wish I can sleep at work and get paid,0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0
"The EFF thrives on sowing division. They do not add value, rather breaks down anything they touch. 
#Capeindependence <URL>",0,1,0,0,1,0,0,1,1,,,,0,0,0,0,0,0
"@user @user @user The ""experts"" rule by diktat and mediated via a tightly-controlled Zoom screen.",0,0,0,0,1,1,0,0,0,,,,0,0,0,0,0,0
"Whilst EFF members are fighting racists white people in brackenfell 

ANC members are getting away with rape <URL>",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"He wanted to tweet, but we reminded him of this 👇🏾

Sello ke joke!
#Mpofu <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
Violent crime and GBV is a HUGE problem in SA and growing yet EFF spend time marching against a school where there was a PRIVATE event organized. EFF are sadly only racially motivated. #clicks #Senekal #brackenfellhigh <URL>,0,0,0,0,1,0,0,1,1,,,,0,0,0,0,0,0
"“We are not happy about what’s happening here. Our intention was not to cause any chaos but to peacefully protest against the racism at this school. We stand against racism as the EFF and we have proof that the function was a racist act."" 
#brackenfellhigh
<URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"#SAvENG what a game. Congrats #SiyaKolisi! Exceptional game for SA. #Comebackkings 
Man of the match has to be @user !! Great game from the scrum half! ❤️❤️❤️❤️",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user According to Tokyo Sexwale it is students money.
 #FeesMustFall",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
This is Sun City and was build by Sans with their bare hands. #SouthAfricansAreNotLazy <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"The state knows that an educated proletariat is a dangerous one, and therefore we must strive &amp; fight to see the execution of #FeesMustFall 

The blueprint has been set by our comrades in South Africa, Uganda and globally! We are all Fallists

#MayDay 
#PeoplesMarchToStatehouse",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"Suspect who got bail for Brendin Horner murder is back behind bars
<URL> <URL>
#senekal2 #FarmMurder",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"<URL> | Brackenfell High: 6 EFF supporters injured, bakkie damaged - See comments at <URL> #southafrica #southafricanews #mzansi <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"is the Forex gang still rich?
the one of seminars and multimillion rand stories from nothing.

#PhoenixMassacre #SCAM Ntokozo Mall of Africa #AzureBootCampSouthAfrica <URL>",0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,0
Rassie picks #SiyaKolisi as #Springbok captain for the England series. <URL> What do you think of his choice - and his squad?,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"#JoburgCBD #PutSouthAfricansFirst
I'm still traumatized by an incident happened in 2014 when I was chocked and mugged at JoburgCBD.

What surprised me the most was the fact that people were just minding their business and pretending like nothing wrong was going on. <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"The two savages who killed young farmer Brendin Horner have only been charged with stealing sheep meaning so they’ll likely avoid jail sentence.

While many farmers have received actual sentence for defending themselves against killers like these two.

White privilege? Where? <URL>",0,1,1,0,1,1,0,1,1,,,,1,1,1,0,0,0
@user @user Same thing y'all did with #PhoenixMassacre  defended Indians. Defend them. Blacks are missing everyday and they don't return back.,0,0,0,0,1,0,1,0,1,,,,0,1,0,0,0,0
Dear patriotic South Africans this is Thabelo my @user account has been suspended for speaking the truth same as they suspended my original account @user #Dudula2021 please follow me and I will follow back,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user I don't remember south Africans saying they don't problems in South Africa, illegal foreigners make our problems worse and we are tired.",0,1,0,0,1,1,0,1,1,,,,0,1,0,0,0,0
"@user I think the Israelis and Palestinians must find a way to live together, closing the embassy won't solve their problems.",0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,0
"@user @user @user @user B aware that if u argue with Zama Ziqubu she's a kwerekwere not a South African so don't expect any understanding about what we going through 4rm Zama
#PutSouthAfricansFirst",0,1,0,0,1,1,0,1,1,,,,0,1,0,0,1,1
"@user @user There’s nothing to praise here, the man is dead. JJ should’ve made those rants while the man was alive 

I challenge JJ to do the same with #MarikanaMassacre &amp; #PhoenixMassacre while the perpetrators are still alive #FWDeKlerk #Apartheid",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user Third force creating division. Act then you are attacked. Like in Israel,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,0
"#PutSouthAfricansFirst Patriotism not xenophobia or selfishness. We have to build, heal and better our nation before focusing on others, only when we've grown and developed can we start talking about helping other countries for now keep it in the family ❤🤞🏾 <URL>",0,0,0,0,1,0,0,0,0,,,,0,1,0,0,0,0
"Chinese, Nigerians Somalians and parkistans should fuseg we are tired and our tired is tired #PutSouthAfricansFirstNow #PutSACitizensFirstNow #PutSouthAfricaFirst #FreeButUnemployedYouth",0,1,0,0,1,1,0,1,1,,,,0,1,1,0,1,1
"Black SA's had to ""forgive "" white oppressors"". Black SAs had to find their way to survive post 1994, without any economic justice. Black South Africans today are asked jailed for defending themselves against Indians. BLACKS CAN DEFEND THEMSELVES. #ayikhale #PhoenixMassacre",0,1,0,0,1,0,0,1,1,,,,0,1,0,0,0,0
So this guy (seemingly in an attempt to justify displaying the #OldFlag as an exercise in freedom of speech) tweeted this song at me. It incites the killing of all 'left wing scum'. The contradiction seems to have escaped him. Careful Graeme your true colours are showing. <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
jacarandafm: Shots have been fired outside the Senekal Magistrate’s Court. <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"South Africa is all we have 😭😭😭😭 .

#PutSouthAfricaFirst",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"@user We do not need to imagine what happens if the perpetrators are black and the victim a white boy... Senekal sowed us what happens... The EFF celebrated the perpetrators, and came to their defense. When the one got bail he was carried on the shoulders of his singing comrades.",0,1,0,0,1,0,0,0,0,,,,0,1,0,0,0,1
@user @user @user Never!!!! you are the one who can leave South Africa _x1f601__x1f601__x1f601__x1f601_ Not Zimbabweans,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,0
Glad to see #SiyaKolisi leading @user as captain! Well deserved and about time. @user @user #LoveRugby @user <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user @user We can't fight for everything at once, let's start with this burning issue of our people going to bed with empty stomachs the rest will come. #PutSouthAfricansFirst #PutSouthAfricaFirst",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"@user @user @user @user @user @user I've been saying this for some time now that Zimbabweans envious and jealous of South Africans, and they'll stop at nothing to destroy our country, the evidence is right there for us all to see, now tell me about some African brothers out there.",0,0,0,0,1,1,0,1,1,,,,0,1,0,0,1,0
@user Our government is really a joke💔,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
@user @user @user Did you know that hamas gets fire power and help from Iran and hezbollah... If the palestinian people don't stop hamas... They are going to have nothing... by waging war... its time they stop the rockets and find a two state solution... terrorists don't care about civilians.,0,0,0,0,1,1,0,0,1,,,,0,1,0,0,0,0
Palestine solidarity rally _x1f1ff__x1f1e6_ #FreePalaestine <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user Dis ok ... gaan oor die aanvalle teen Israel... ek wonder waar Hamas hulle wapens kry ...?,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user @user Eish..._x1f62d_ but its okay. This is a wakeup call to blind voters. ANC is USELESS. We need to get someone who is ready to change our lives...,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
@user @user @user I am privileged I studied during his time....,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user @user here is nothing wrong about saying never forget about Phoenix massacre, it 's the same as saying never forget about the holocaust...never forget about the killing of innocent young woman,young people and children who were cowardly killed by racist Indians..",0,1,0,0,1,1,0,1,1,,,,0,1,0,0,0,1
@user Lets take them to war!,0,1,0,1,1,1,0,0,0,,,,0,0,0,0,0,0
"@user We must applaud excellence when it is displayed. I was in court and was impressed by what Judge Mojapelo delivered. Judgement was detailed. 

#ApartheidFlag  #Judiciary",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"She was carrying ( baby died), they then proceeded to shoot her, she was shot on the leg, head and ribs.
She did not get to bury the baby because she was back in hospital because of her injuries.
She was in hospital getting operated on, they put had to put steel on her leg..w",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
Let Universities stop offering accommodation or this guy is doing this to create a favourable environment for a hostel investor around UoN?? With the economic situation right now a normal head can't do what prof Stephen Kiama is doing... He needs to be tested and assessed of a <URL>,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
@user Yeah they were in that protest of a killed farmer in Senekal.,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user Ivili lijikile impela today nini abakhalayo 2018 it was me okhalayo AmaZim ephezu kwam so feel it mtshana lol Phezu kwabo Mnangwagwa #putSouthafricansfirst,0,0,0,0,1,1,0,0,0,,,,0,1,0,0,1,0
"@user #PutSouthAficansFirst menial jobs lik tuckshops en stalkies r fo foreigners,scare skill jobs r4 SAn's but it seem lik politicians brainwashed many dats y ur kids r not taken2oversees to get scare skills education,u get foreigners bein specialists earning millions while ur waiters",0,0,0,0,1,1,0,1,1,,,,0,1,0,0,0,0
#ApartheidFlag JUST IN: Mojapelo says the gratuitous display of the flag amounts to hate speech. He now moves to whether it constitutes harassment.,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"You are a genuine fool shame! 

Trying to erase EFF women who went to put their bodies on the line in Senekal to fight racism is lowly even for a house nigger like you. In fact, it’s a perfect case of genuine foolishness! <URL>",0,1,1,0,0,1,0,1,1,,,,0,0,1,0,1,1
"Also, they fear the implications of the Zimbabwean response to settler-colonialism. Overwhelming majority of Western ""critical"" scholars either supported Western states in their villainization of Zimbabwe when land was being reclaimed from settlers in the 2000s or they... <URL>",0,0,0,0,1,0,0,0,0,,,,0,1,0,0,0,0
Are we all crying right now or what?!!! Yesss Bokke _x1f1ff__x1f1e6_ #RWC2019 #RWCFinal2019 #SiyaKolisi #Mapimpi #Springboks,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user Another way to steal from the treasury,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"These old ass politicians need fuck off along with their party  #sagovernmentisuseless we’re smarter than them , more educated , better , younger , stronger and it’s time to show them we are not “Lazy”  #PutSouthAfricansFirst <URL>",0,1,0,0,1,1,0,0,0,,,,,,,0,0,0
"Dear Body ♥.....

#PutSouthAfricaFirst
#LockdownHouseParty
#boity
#Get2GetherExperience <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"Immense, exciting performance by the @user 
#Proud #SiyaKolisi  #RSAvENG",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"South Africans Ramaphosa yesterday was trying to sabotage the operation #dudula by putting the country under level 3, the timing was clear was to silence the SAfricans. Never be threatened by the EFF and never loose focus destroy the head of the devil the ANC God bless SAfricans",0,1,0,1,1,1,0,1,1,,,,0,1,0,0,0,0
@user @user @user But Malema never said foreign nationals must operate illegally. He said we must come together as Africans and Africa should be borderless,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"While some are sleeping peacefully, Gaza is being bombed _x1f494__x1f494__x1f494_",0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"Why is the world not taking action against the oppressive Israeli government? Palestinian Men, women and children are being murdered. And SA should expel the Israeli ambassador immediately. @user @user @user <URL>",0,1,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
The issue of open borders opens so MANY problems besides security issues. Biological diseases spread easily where there is no border control diseases such as Onchocerciasis or River Blindness can imported and cause a public health issue of epic proportions #PutSouthAfricaFirst <URL>,0,1,0,0,1,1,0,0,0,,,,0,0,0,0,0,0
"@user @user Because of the Iron Dome Israel can send barrage of missiles into Gaza.
Imagine Obama also supplied same to Hamas.",0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user 
@user 
@user 
Why is Israel exempt from obtaining Tourist visas for Turkey!!!! <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user May I kindly notify you that The Taxi Industry was sold by Santaco to SA taxi in Midrand... Right there we gave away one major economy which we owned and knew how to run. It's gone now.,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Indeed to trust such ilk with ones health and that of your progeny, especially in view of their current liability, let alone the ANC's results or Pfizer's history and with legal immunity to boot.
Sheer obeisance.",0,1,0,0,1,0,0,0,1,,,,0,0,0,0,0,0
"@user A entrepreneur start his/her business with only R200 his/her pocket then, grow it to be millions which ultimately makes that person from Millionaire to billionaire. It is sad that the concept of business is not understood by many, hence complaints about foreigners doing business",0,0,0,0,0,0,0,1,1,,,,0,0,0,0,0,0
"Even though your neighbour's poverty is not your problem, it will affect you. You rather sit on a round table with him and find ways to work together to find solutions otherwise directly or indirectly he will be your problem. #DUDULA #CollaborativeEconomicDevelopment",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user Already @user is having their own Foreign Affairs Minister in parliament Naledi Chirwa. South Africans @user members r only good enough for tweeting and being praise singers. EFF please #PutSouthAfricansFirst,0,1,0,0,1,1,0,0,1,,,,0,1,0,0,0,0
@user @user _x1f923__x1f923_ our daughter mara,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"""Confront the enemy now or forever stay running"" @user  #EFFInBrackenfell <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user The Eff were not unarmed they were throwing stones,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,0
@user @user My man you're the one who brought up Ebola la,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"But nothing gets said or done when trains and schools are torched? Get your shit together. _x1f621_@user
#FarmMurders @user  
""Brendin Horner murder: Minister Lamola condemns violence by protesting farmers"" <URL> via @user",0,1,0,0,1,1,0,0,1,,,,0,0,0,0,0,0
"@user Yet I ask again, why breakdown what can be used to build on?? What have you built to replace what you have distroyed. All the students could have had education for free, but after all the theft in SA, we can't educate our future SA citizens. #VoestsekANC  #PutSouthAfricansFirst",0,1,0,0,1,1,0,0,0,,,,0,0,0,0,0,0
"Where are all the fake activists that were attacking Miss SA, Lalela Mane ??

We told u at the that SA is Israel largest trading with in Africa that valued over R6 billion a year. Look @ ur President, proving us right!!

Educate urself about real issues. <URL>",0,0,0,0,1,1,0,0,1,,,,0,0,0,0,0,0
Ronaldo FC becoming what they criticized Messi for in the last few years _x1f602__x1f602_ <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user They are always strong warriors together with foreigners in red overalls fighting against black SAns for #PutSouthAfricansFirst now they want us  black SAns to feel pity for them, I'd rather remain stupid🚮than Supporting someone who will bit me up tomorrow with his foreigners.",0,1,0,0,1,1,0,1,1,,,,0,1,1,0,1,0
"At a very tumultuous time in Unisa's history(#FeesMustFall), a certain advocate was appointed to chair a stakeholders task team to usher in the insourcing of exploited black workers. He failed dismally. 

Against all odds, we eventually won - without him. Check pinned tweet. 👍🏿 <URL>",0,1,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"Where did the rain start beating us? 
This is unethical!!!
The spirit of Comradeship!!
UON only admit bright students and not rich!!!!
#UniversityofNairobi 
#FeesMustFall",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
"Please assist this student, find attached image.
#FeesMustFall2021
#FeesMustFall
#Fee <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
Thank you @user swa kahle swa khensiwa... <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user Some of our ppl r so useless, how dare u bring Foreigners into a State house mara😒",0,1,0,0,1,1,0,1,1,,,,0,1,0,0,1,0
After 127 years: @user will be the 1st #black #player to #captain the @user #SiyaKolisi  <URL>,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user I didn't know @user had a military wing in Phoenix can APLA veterans and Mk veterans give us some advice here #PhoenixMassacre,0,1,0,0,0,0,1,1,1,,,,0,0,0,0,0,0
"For clear skin and glow, try out our products👌 

DM or WhatsApp 0847957217 #skincare #GirlTalkZA #GLOWA #BBManzi <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"The match can end now _x1f389__x1f389__x1f389__x1f389__x1f389__x1f389__x1f389__x1f389__x1f389__x1f389__x1f389__x1f389_ banyile siWinile qha.
#RWCFinal #SiyaKolisi #StrongerTogether #RWCFinal2019",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user This is not Zimbabwe. In South Africa, people have a right to protest in any location they choose. We still have the constitution. 
This thing of defending white violence and terrorism firstly in Senekal &amp; now #brackenfellhigh will come to an end.",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
@user You zionist animals. God is watching. Create as much havoc for now. Your time is coming. You will face the mighty wrath of God. Let’s see how you cope.,0,1,1,1,1,1,0,1,1,,,,0,0,1,0,0,1
"@user If you were to experience SAns' daily living experience you wouldn't be sickened by these tweet, but sympathise but ke what @user is tweeting about is foreign to you hence you feel that way.",0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
He was the worse presidents just like these #PutSouthAfricaFirst Fools he wanted to divide  Unite people <URL>,0,0,0,0,1,1,0,0,0,,,,0,0,0,0,0,0
"WE ARE AN ONLINE BUTCHERY!!!

Order your Meat via Whatsapp and we deliver straight to your door!!!☺☺😊
#schoolreopening #PutSouthAfricansFirst #mondaythoughts #COVID19 #SocialDistancing #lockdown <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"According to a member of the SA Human Rights Commission, the #eff were only allowed a maximum of 500 people to protest, which is why the police retaliated with tear gas and stun grenades. #effinbrackenfell #brackenfell @user",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
That springbok defence what a moment #RWCFinal #Habashwe #SiyaKolisi #StrongerTogether,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
